time,.data
2024/06/03/16:10:11.800304,8
2024/06/03/16:10:11.818205,8
2024/06/03/16:10:11.833037,8
2024/06/03/16:10:11.850408,8
2024/06/03/16:10:11.866793,8
2024/06/03/16:10:11.882616,8
2024/06/03/16:10:11.899258,8
2024/06/03/16:10:11.915376,8
2024/06/03/16:10:11.932543,8
2024/06/03/16:10:11.948327,8
2024/06/03/16:10:11.966408,8
2024/06/03/16:10:11.983270,8
2024/06/03/16:10:11.999691,8
2024/06/03/16:10:12.017981,8
2024/06/03/16:10:12.032213,8
2024/06/03/16:10:12.049726,8
2024/06/03/16:10:12.065710,8
2024/06/03/16:10:12.081729,8
2024/06/03/16:10:12.097930,8
2024/06/03/16:10:12.115047,8
2024/06/03/16:10:12.131931,8
2024/06/03/16:10:12.147925,8
2024/06/03/16:10:12.165328,8
2024/06/03/16:10:12.182201,8
2024/06/03/16:10:12.198706,8
2024/06/03/16:10:12.215233,8
2024/06/03/16:10:12.232457,8
2024/06/03/16:10:12.248649,8
2024/06/03/16:10:12.265042,8
2024/06/03/16:10:12.280260,8
2024/06/03/16:10:12.299526,8
2024/06/03/16:10:12.316012,8
2024/06/03/16:10:12.333216,8
2024/06/03/16:10:12.349364,8
2024/06/03/16:10:12.367402,8
2024/06/03/16:10:12.382907,9
2024/06/03/16:10:12.398615,10
2024/06/03/16:10:12.414536,14
2024/06/03/16:10:12.431431,18
2024/06/03/16:10:12.448266,19
2024/06/03/16:10:12.466365,20
2024/06/03/16:10:12.481060,20
2024/06/03/16:10:12.498967,20
2024/06/03/16:10:12.518472,20
2024/06/03/16:10:12.531411,20
2024/06/03/16:10:12.549760,20
2024/06/03/16:10:12.565353,20
2024/06/03/16:10:12.581703,20
2024/06/03/16:10:12.598921,20
2024/06/03/16:10:12.615686,20
2024/06/03/16:10:12.631931,20
2024/06/03/16:10:12.649272,20
2024/06/03/16:10:12.664611,20
2024/06/03/16:10:12.682778,20
2024/06/03/16:10:12.699464,20
2024/06/03/16:10:12.715675,20
2024/06/03/16:10:12.732193,20
2024/06/03/16:10:12.748763,20
2024/06/03/16:10:12.765028,20
2024/06/03/16:10:12.781949,20
2024/06/03/16:10:12.800594,20
2024/06/03/16:10:12.816341,21
2024/06/03/16:10:12.832556,21
2024/06/03/16:10:12.849195,21
2024/06/03/16:10:12.865362,22
2024/06/03/16:10:12.882035,23
2024/06/03/16:10:12.899469,25
2024/06/03/16:10:12.915818,25
2024/06/03/16:10:12.932894,25
2024/06/03/16:10:12.949759,27
2024/06/03/16:10:12.964836,27
2024/06/03/16:10:12.982870,27
2024/06/03/16:10:12.998305,28
2024/06/03/16:10:13.015809,28
2024/06/03/16:10:13.031507,28
2024/06/03/16:10:13.049270,28
2024/06/03/16:10:13.066783,28
2024/06/03/16:10:13.082351,28
2024/06/03/16:10:13.100476,28
2024/06/03/16:10:13.117578,29
2024/06/03/16:10:13.132437,29
2024/06/03/16:10:13.149655,29
2024/06/03/16:10:13.166083,29
2024/06/03/16:10:13.183743,29
2024/06/03/16:10:13.199261,29
2024/06/03/16:10:13.217273,29
2024/06/03/16:10:13.232155,29
2024/06/03/16:10:13.249056,29
2024/06/03/16:10:13.266205,29
2024/06/03/16:10:13.282708,29
2024/06/03/16:10:13.298689,29
2024/06/03/16:10:13.315169,29
2024/06/03/16:10:13.332683,29
2024/06/03/16:10:13.350085,29
2024/06/03/16:10:13.365872,29
2024/06/03/16:10:13.382875,29
2024/06/03/16:10:13.399650,29
2024/06/03/16:10:13.416136,29
2024/06/03/16:10:13.432614,29
2024/06/03/16:10:13.449613,29
2024/06/03/16:10:13.465812,29
2024/06/03/16:10:13.482056,29
2024/06/03/16:10:13.500291,29
2024/06/03/16:10:13.515546,29
2024/06/03/16:10:13.532687,29
2024/06/03/16:10:13.549163,29
2024/06/03/16:10:13.565386,29
2024/06/03/16:10:13.581651,29
2024/06/03/16:10:13.599535,29
2024/06/03/16:10:13.616357,29
2024/06/03/16:10:13.632782,29
2024/06/03/16:10:13.648955,29
2024/06/03/16:10:13.665396,29
2024/06/03/16:10:13.682376,29
2024/06/03/16:10:13.698285,29
2024/06/03/16:10:13.714930,29
2024/06/03/16:10:13.732096,29
2024/06/03/16:10:13.748659,29
2024/06/03/16:10:13.764794,29
2024/06/03/16:10:13.787941,28
2024/06/03/16:10:13.799042,28
2024/06/03/16:10:13.815101,27
2024/06/03/16:10:13.831690,27
2024/06/03/16:10:13.849575,27
2024/06/03/16:10:13.865916,27
2024/06/03/16:10:13.881131,27
2024/06/03/16:10:13.899686,27
2024/06/03/16:10:13.916325,27
2024/06/03/16:10:13.933077,27
2024/06/03/16:10:13.948148,27
2024/06/03/16:10:13.965411,27
2024/06/03/16:10:13.982319,27
2024/06/03/16:10:13.998889,27
2024/06/03/16:10:14.015449,27
2024/06/03/16:10:14.031976,27
2024/06/03/16:10:14.053296,27
2024/06/03/16:10:14.064419,29
2024/06/03/16:10:14.083273,29
2024/06/03/16:10:14.100308,29
2024/06/03/16:10:14.116349,30
2024/06/03/16:10:14.132790,30
2024/06/03/16:10:14.149920,30
2024/06/03/16:10:14.168555,30
2024/06/03/16:10:14.181223,30
2024/06/03/16:10:14.199327,30
2024/06/03/16:10:14.215533,30
2024/06/03/16:10:14.232446,30
2024/06/03/16:10:14.249636,30
2024/06/03/16:10:14.265455,30
2024/06/03/16:10:14.280364,30
2024/06/03/16:10:14.296971,30
2024/06/03/16:10:14.314635,30
2024/06/03/16:10:14.332280,30
2024/06/03/16:10:14.349796,30
2024/06/03/16:10:14.365776,30
2024/06/03/16:10:14.382683,31
2024/06/03/16:10:14.399203,32
2024/06/03/16:10:14.415925,32
2024/06/03/16:10:14.433973,32
2024/06/03/16:10:14.448927,33
2024/06/03/16:10:14.465547,33
2024/06/03/16:10:14.481572,34
2024/06/03/16:10:14.498895,34
2024/06/03/16:10:14.515157,34
2024/06/03/16:10:14.531674,34
