time,.pulsos,.time_millis
2024/06/03/16:11:13.353839,7,500
2024/06/03/16:11:13.871883,5,500
2024/06/03/16:11:14.374972,7,500
2024/06/03/16:11:14.885289,8,500
2024/06/03/16:11:15.393369,5,500
2024/06/03/16:11:15.909561,7,500
2024/06/03/16:11:16.419193,7,500
2024/06/03/16:11:16.927940,7,500
2024/06/03/16:11:17.438760,11,500
2024/06/03/16:11:17.950090,9,500
2024/06/03/16:11:18.461513,9,500
2024/06/03/16:11:18.973505,7,500
2024/06/03/16:11:19.485648,7,500
2024/06/03/16:11:19.994682,6,500
2024/06/03/16:11:20.508735,7,500
2024/06/03/16:11:21.018101,7,500
2024/06/03/16:11:21.528313,7,500
2024/06/03/16:11:22.037185,9,500
2024/06/03/16:11:22.551064,9,500
2024/06/03/16:11:23.059284,7,500
2024/06/03/16:11:23.570295,10,500
2024/06/03/16:11:24.083161,7,500
2024/06/03/16:11:24.591614,11,500
2024/06/03/16:11:25.102882,7,500
2024/06/03/16:11:25.617843,9,500
2024/06/03/16:11:26.127229,11,500
2024/06/03/16:11:26.638125,9,500
2024/06/03/16:11:27.146278,9,500
2024/06/03/16:11:27.657642,7,500
2024/06/03/16:11:28.171455,8,500
2024/06/03/16:11:28.683789,6,500
2024/06/03/16:11:29.190804,9,500
2024/06/03/16:11:29.703110,7,500
2024/06/03/16:11:30.217695,8,500
2024/06/03/16:11:30.724494,8,500
2024/06/03/16:11:31.234815,7,500
2024/06/03/16:11:31.753202,10,500
2024/06/03/16:11:32.256261,10,500
2024/06/03/16:11:32.766265,9,500
2024/06/03/16:11:33.285192,7,500
2024/06/03/16:11:33.791284,11,500
2024/06/03/16:11:34.299998,8,500
2024/06/03/16:11:34.810209,7,500
2024/06/03/16:11:35.321071,8,500
2024/06/03/16:11:35.834572,8,500
2024/06/03/16:11:36.344139,10,500
2024/06/03/16:11:36.855179,12,500
2024/06/03/16:11:37.365324,11,500
2024/06/03/16:11:37.876372,14,500
2024/06/03/16:11:38.391067,13,500
2024/06/03/16:11:38.903595,12,500
2024/06/03/16:11:39.409587,12,500
2024/06/03/16:11:39.920572,12,500
2024/06/03/16:11:40.431535,13,500
2024/06/03/16:11:40.943074,12,500
2024/06/03/16:11:41.455101,12,500
2024/06/03/16:11:41.964873,12,500
2024/06/03/16:11:42.475458,11,500
2024/06/03/16:11:42.986321,12,500
2024/06/03/16:11:43.497657,9,500
2024/06/03/16:11:44.012351,14,500
2024/06/03/16:11:44.522158,9,500
2024/06/03/16:11:45.032161,10,500
2024/06/03/16:11:45.539638,9,500
2024/06/03/16:11:46.055050,8,500
2024/06/03/16:11:46.563041,8,500
2024/06/03/16:11:47.074486,4,500
2024/06/03/16:11:47.585417,6,500
2024/06/03/16:11:48.095368,5,500
2024/06/03/16:11:48.607148,5,500
2024/06/03/16:11:49.117283,6,500
2024/06/03/16:11:49.634346,4,500
2024/06/03/16:11:50.141503,6,500
2024/06/03/16:11:50.647689,5,500
