Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,71457","2,9961E-07","0,46648",0,0,0,"207,45","9,0004","7,1018E-06","-0,96037","26,4","1,7506E-05","23,098",0,0,0,0,0,0,package://puma_model_dualcam/meshes/base_link.STL,"0,98824","0,73725","0,51765",1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/base_link.STL,,base-puma-1;direccion-union-base-3;direccion-union-base-1,Origin_base_link_v2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
dir_right_link,"-2,22044604925031E-16","-0,0294777193153578","1,11022302462516E-16",0,0,0,"0,214607285846125","0,000161787233745492","-1,24829896241142E-20","-1,74611829797598E-21","0,000212842937751498","1,00804994612644E-20","0,000169651482672632",0,0,0,0,0,0,package://puma_model_dualcam/meshes/dir_right_link.STL,"0,823529411764706","0,823529411764706","0,823529411764706",1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/dir_right_link.STL,,direccion-union-rueda-1,Origin_dir_RIGHT,Axis_dir_RIGHT,dir_right_joint,continuous,"1,15","-0,337","0,265",0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_right_front_link,0,"1,11022302462516E-16","0,07",0,0,0,"40,746899028908","0,940114186286073","2,10269346059008E-32","6,51599441141691E-17","0,940114186286073","-1,4129129295913E-17","1,71674100062734",0,0,0,0,0,0,package://puma_model_dualcam/meshes/wheel_right_front_link.STL,1,"0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/wheel_right_front_link.STL,,rueda-delantera-3,Origin_wheel_RIGHT_front,Axis_wheel_RIGHT_front,wheel_right_front_joint,continuous,0,"-0,0480000000000001",0,"1,5707963267949",0,0,dir_right_link,0,0,-1,0,0,0,0,,,,1,,,,
dir_left_link,0,"0,0294777193153578","1,11022302462516E-16",0,0,0,"0,214607285846125","0,000161787233745492","2,45503257089474E-21","-2,60217453562839E-21","0,000212842937751498","4,05831478719612E-20","0,000169651482672632",0,0,0,0,0,0,package://puma_model_dualcam/meshes/dir_left_link.STL,"0,823529411764706","0,823529411764706","0,823529411764706",1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/dir_left_link.STL,,direccion-union-rueda-2,Origin_dir_LEFT,Axis_dir_LEFT,dir_left_joint,continuous,"1,15","0,337","0,265",0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_left_front_link,"-1,11022302462516E-16",0,"0,0699999999999999",0,0,0,"40,746899028908","0,940114186286073","6,96729071871739E-32","-5,08248184397749E-17","0,940114186286073","1,0534600186523E-17","1,71674100062734",0,0,0,0,0,0,package://puma_model_dualcam/meshes/wheel_left_front_link.STL,1,"0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/wheel_left_front_link.STL,,rueda-delantera-2,Origin_wheel_LEFT_front,Axis_wheeL_LEFT_front,wheel_left_front_joint,continuous,0,"0,048",0,"1,5707963267949",0,"-3,14159265358979",dir_left_link,0,0,-1,0,0,0,0,,,,1,,,,
wheel_right_back_link,0,0,"0,1",0,0,0,"52,2180097677596","1,20115503942524","-1,94634065542107E-32","8,91545953570273E-17","1,20115503942524","-3,53398723507262E-16","1,97609087490016",0,0,0,0,0,0,package://puma_model_dualcam/meshes/wheel_right_back_link.STL,"0,666666666666667","0,666666666666667","0,666666666666667",1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/wheel_right_back_link.STL,,rueda-trasera-1,Origin_wheel_RIGHT_back,Axis_wheel_RIGHT_back,wheel_right_back_joint,continuous,0,"-0,275","0,25","1,5708",0,0,base_link,0,0,-1,0,0,0,0,,,,1,,,,
wheel_left_back_link,"1,11022302462516E-16",0,"0,1",0,0,0,"52,2180097677596","1,20115503942524","-3,83421958002463E-33","-1,15299802571578E-18","1,20115503942524","2,44898251523046E-17","1,97609087490016",0,0,0,0,0,0,package://puma_model_dualcam/meshes/wheel_left_back_link.STL,"0,666666666666667","0,666666666666667","0,666666666666667",1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/wheel_left_back_link.STL,,rueda-trasera-2,Origin_wheel_LEFT_back,Axis_wheel_LEFT_back,wheel_left_back_joint,continuous,0,"0,275","0,25","-1,5707963267949",0,0,base_link,0,0,-1,0,0,0,0,,,,1,,,,
base_component_link,"-1,38777878078145E-17","-1,38777878078145E-17",0,0,0,0,"26,928","0,399432","2,42420528095977E-17","4,57286160668011E-33","0,368016","8,15839988158966E-18","0,5502288",0,0,0,0,0,0,package://puma_model_dualcam/meshes/base_component_link.STL,1,"0,752941176470588",1,1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/base_component_link.STL,,caja-componentes-1,Origin_base_component,Axis_base_component,base_component_joint,fixed,"0,7",0,"0,87",0,0,0,base_link,0,0,0,,,,,,,,,,,,
gps_link,0,0,"-0,01",0,0,0,"0,1","8,66666666666667E-05","-6,77626357803855E-24","1,20335147373261E-21","2,41666666666667E-05","-2,19415414656754E-21","0,000104166666666667",0,0,0,0,0,0,package://puma_model_dualcam/meshes/gps_link.STL,"0,623529411764706",1,"0,76078431372549",1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/gps_link.STL,,gps-1,Origin_gps,Axis_gps,gps_joint,fixed,"0,845",0,1,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu_link,"5,08055300385557E-07","-0,000195569944066151","-0,0121628383871961",0,0,0,"0,0106550387325199","1,16705248203446E-06","2,0325615840536E-11","2,11642113808104E-12","2,20541869708663E-06","-8,14691556822192E-10","2,78315231388433E-06",0,0,0,0,0,0,package://puma_model_dualcam/meshes/imu_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://puma_model_dualcam/meshes/imu_link.STL,,carcasa_imu-1;base-imu-1,Origin_imu,Axis_imu,imu_joint,fixed,"1,027","0,00299999999999989","0,781",0,0,0,base_link,0,0,0,,,,,,,,,,,,
